user_id,country,device,campaign,clicked,amount
25996,UK,Desktop,Retargeting,0,299.86
80997,USA,Mobile,Launch,0,431.47
69139,USA,Desktop,Referral,0,299.4
54554,Canada,Desktop,Festive,1,175.74
64253,USA,Mobile,Summer,0,137.31
76139,USA,Desktop,Launch,1,417.98
54316,India,Desktop,Summer,0,306.41
38312,USA,Desktop,Retargeting,1,148.69
92535,USA,Tablet,Festive,1,377.06
97134,India,Desktop,Referral,0,206.64
25945,Germany,Desktop,Festive,0,54.11
26656,Canada,Tablet,Retargeting,0,285.19
73169,India,Mobile,Referral,0,12.86
95264,Canada,Desktop,Referral,0,307.32
26126,Canada,Desktop,Festive,0,224.91
78898,India,Tablet,Launch,1,122.2
35816,Canada,Desktop,Festive,0,60.65
93163,India,Mobile,Referral,1,455.92
24285,Canada,Mobile,Launch,1,489.25
92537,USA,Tablet,Launch,1,146.72
63193,UK,Tablet,Launch,0,170.84
92231,UK,Mobile,Launch,0,204.85
25118,Canada,Tablet,Launch,1,241.98
95212,India,Mobile,Festive,0,285.84
61175,UK,Mobile,Retargeting,1,44.08
51410,Canada,Desktop,Summer,0,426.84
93696,Canada,Tablet,Summer,0,46.25
93358,India,Mobile,Summer,1,482.75
35852,UK,Desktop,Referral,1,266.18
21066,Canada,Desktop,Referral,1,489.05
43840,Germany,Mobile,Festive,0,185.8
87489,UK,Tablet,Launch,1,78.77
60964,USA,Tablet,Launch,0,216.08
49181,UK,Desktop,Retargeting,1,479.75
37962,India,Desktop,Festive,0,308.77
94314,Canada,Desktop,Summer,0,124.68
56760,Germany,Tablet,Festive,0,152.58
45016,Canada,Mobile,Festive,0,247.32
23627,India,Tablet,Summer,1,203.8
71384,Germany,Desktop,Summer,1,154.47
74085,India,Mobile,Launch,1,411.01
40564,USA,Mobile,Referral,0,98.62
34192,Germany,Mobile,Festive,1,52.07
20926,Canada,Desktop,Retargeting,1,462.16
90768,UK,Mobile,Retargeting,0,313.7
42117,India,Desktop,Retargeting,0,264.62
10088,Canada,Desktop,Festive,0,466.84
25902,Canada,Mobile,Launch,0,117.54
70242,USA,Tablet,Referral,1,149.65
79683,USA,Tablet,Launch,1,247.59
84052,USA,Tablet,Summer,0,395.91
57167,UK,Desktop,Summer,0,328.04
40430,Germany,Mobile,Festive,0,120.55
99169,India,Desktop,Festive,0,73.29
83719,Canada,Desktop,Referral,0,54.68
33023,UK,Mobile,Retargeting,1,90.21
52065,India,Desktop,Festive,1,67.71
78807,India,Desktop,Festive,0,363.46
89667,Canada,Tablet,Launch,0,80.01
87182,UK,Desktop,Festive,1,399.11
50217,India,Mobile,Retargeting,1,131.89
74860,UK,Desktop,Referral,0,306.44
46513,Germany,Desktop,Retargeting,0,232.42
67748,India,Desktop,Referral,0,91.17
67781,UK,Desktop,Festive,0,259.29
51883,Germany,Desktop,Festive,1,189.95
48359,India,Mobile,Festive,1,281.65
33555,UK,Desktop,Retargeting,1,91.7
55220,India,Desktop,Launch,0,279.99
70239,UK,Desktop,Festive,0,151.8
49141,Canada,Tablet,Launch,0,296.24
47306,UK,Desktop,Retargeting,0,41.0
84809,USA,Desktop,Launch,1,243.61
89907,Canada,Tablet,Referral,0,355.74
37772,Germany,Desktop,Retargeting,0,430.71
95644,USA,Tablet,Launch,0,83.93
56462,Germany,Tablet,Summer,1,151.87
46772,India,Tablet,Retargeting,1,97.46
98750,Canada,Mobile,Launch,0,37.22
62633,Canada,Mobile,Referral,0,123.29
